age12-17,2021-07-03,11511
age5-11,2021-07-03,19
age18-49,2021-07-02,46272
age50-64,2021-07-02,14747
age65,2021-07-02,5501
age12-17,2021-07-02,22569
age5-11,2021-07-02,32
age18-49,2021-07-01,41643
age50-64,2021-07-01,12214
age65,2021-07-01,5164
age12-17,2021-07-01,19956
age5-11,2021-07-01,29
age18-49,2021-06-30,44340
age50-64,2021-06-30,12877
age65,2021-06-30,5419
age12-17,2021-06-30,21244
age5-11,2021-06-30,33
age18-49,2021-06-29,46666
age50-64,2021-06-29,13963
age65,2021-06-29,5408
age12-17,2021-06-29,22351
age5-11,2021-06-29,42
age18-49,2021-06-28,39274
age50-64,2021-06-28,11309
age65,2021-06-28,4074
age12-17,2021-06-28,20938
age5-11,2021-06-28,31
age18-49,2021-06-27,18574
age50-64,2021-06-27,5091
age65,2021-06-27,1438
age12-17,2021-06-27,7975
age5-11,2021-06-27,17
age18-49,2021-06-26,37069
age50-64,2021-06-26,11345
age65,2021-06-26,3369
age12-17,2021-06-26,19617
age5-11,2021-06-26,34
age18-49,2021-06-25,57980
age50-64,2021-06-25,18044
age65,2021-06-25,6286
age12-17,2021-06-25,28537
age5-11,2021-06-25,28
age18-49,2021-06-24,51137
age50-64,2021-06-24,15311
age65,2021-06-24,6053
age12-17,2021-06-24,23217
age5-11,2021-06-24,25
age18-49,2021-06-23,52614
age50-64,2021-06-23,15031
age65,2021-06-23,6171
age12-17,2021-06-23,24846
age5-11,2021-06-23,31
age18-49,2021-06-22,55995
age50-64,2021-06-22,16319
age65,2021-06-22,6515
age12-17,2021-06-22,26541
age5-11,2021-06-22,30
age18-49,2021-06-21,41685
age50-64,2021-06-21,12038
age65,2021-06-21,4402
age12-17,2021-06-21,16950
age5-11,2021-06-21,26
age18-49,2021-06-20,18049
age50-64,2021-06-20,4922
age65,2021-06-20,1457
age12-17,2021-06-20,8084
age5-11,2021-06-20,6
age18-49,2021-06-19,41284
age50-64,2021-06-19,12479
age65,2021-06-19,3593
age12-17,2021-06-19,22769
age5-11,2021-06-19,32
age18-49,2021-06-18,69759
age50-64,2021-06-18,20763
age65,2021-06-18,7077
age12-17,2021-06-18,37582
age5-11,2021-06-18,42
age18-49,2021-06-17,62676
age50-64,2021-06-17,17778
age65,2021-06-17,6909
age12-17,2021-06-17,32587
age5-11,2021-06-17,55
age18-49,2021-06-16,64397
age50-64,2021-06-16,18217
age65,2021-06-16,7278
age12-17,2021-06-16,36364
age5-11,2021-06-16,44
age18-49,2021-06-15,71437
age50-64,2021-06-15,20865
age65,2021-06-15,8226
age12-17,2021-06-15,36915
age5-11,2021-06-15,44
age18-49,2021-06-14,59638
age50-64,2021-06-14,17851
age65,2021-06-14,6561
age12-17,2021-06-14,35956
age5-11,2021-06-14,48
age18-49,2021-06-13,22527
age50-64,2021-06-13,6707
age65,2021-06-13,1862
age12-17,2021-06-13,15422
age5-11,2021-06-13,21
age18-49,2021-06-12,54287
age50-64,2021-06-12,17019
age65,2021-06-12,4921
age12-17,2021-06-12,43680
age5-11,2021-06-12,50
age18-49,2021-06-11,78186
age50-64,2021-06-11,24791
age65,2021-06-11,8702
age12-17,2021-06-11,54442
age5-11,2021-06-11,65
age18-49,2021-06-10,70257
age50-64,2021-06-10,21756
age65,2021-06-10,8563
age12-17,2021-06-10,52222
age5-11,2021-06-10,61
